P:Project Key (Charge Code or PACE ID),P:PTN Number,S:FA Number,S:USID,S:Site Name,P:PACE Job Number,S:Address Line 1,S:Address Line 2,S:City,S:State,S:ZIP,S:Latitude,S:Longitude
521517-S00381,3551A0Y69Z,10086751,15428.00,HOLLYWOOD AND WESTERN,MRLOS078415,5500 HOLLYWOOD BOULEVARD,,LOS ANGELES,CA,90028,34.10166670,-118.30972220
521517-S00545,3551A0Y65X,10086126,11757.00,HOLLYWOOD/WEST,MRLOS078410,7401 WEST SUNSET BOULEVARD,,LOS ANGELES,CA,90046,34.09833300,-118.35111100
507406-7717,3551A0T4HY,10100566,27396.00,HWY 241 D/ORANGE COUNTY,MRLOS070760,"NORTH CULVER TOLL EASTERN TRANSPORTATION CORRIDOR,",,IRVINE,CA,92602,33.76028000,-117.73297000
521517-S00624,3551A0Y6P6,10085764,12414.00,HWY 60/PHILLIPS RANCH 1,MRLOS078414,24142 SYLVAN GLEN ROAD,,DIAMOND BAR,CA,91765,34.02807780,-117.79497780
521517-S00500,3551A0Y5TJ,10101694,44468.00,I-5 FWY/ I-405 FWY INTERCHANGE,MRLOS078713,12000 NORTH BLUCHER AVENUE,,GRANADA HILLS,CA,91344,34.29027780,-118.46916670
521517-S00050,3551A0Y6RX,10087306,25770.00,I-5 and 134 FWY,MRLOS078557,701 SONORA AVENUE,,GLENDALE,CA,91201,34.16338330,-118.29154170
521517-S00022,3551A0Y5WM,10068124,50852.00,IM-019-01(LA535) PG and E PELATO PEAK,MRLOS078223,30977 CERRO NOROESTRE ROAD,,MARICOPA,CA,93252,34.92022220,-119.40555560
521517-S00427,3551A0Y6C6,10086735,27199.00,IMPERIAL AND AVIATION,MRLOS078352,2310 IMPERIAL HIGHWAY,,EL SEGUNDO,CA,90245,33.93019440,-118.38025000
521517-S00435,3551A0Y5SF,10086995,26371.00,IRVINE CTR DR/ SCIENTIFIC,MRLOS078695,33 BUNSEN,,IRVINE,CA,92618,33.64263890,-117.74200000
521517-S00514,3551A0Y615,10085968,11935.00,JONATHAN CL/PCH OVLY - C694,MRLOS078121,850 PALISADES BEACH ROAD,,SANTA MONICA,CA,90403,34.02055560,-118.50736110
521517-S00351,3551A0Y6R0,10094501,24396.00,JURUPA VALLEY SPORTS PARK,MRLOS078143,10400-10500 BELLEGRAVE AVENUE,,MIRA LOMA,CA,91752,34.00388890,-117.51055560
507406-7464,3551A0T5CA,10087410,50920.00,KARSTON IMPORTS,MRLOS070832,"5538 FULTON AVENUE,",,VAN NUYS,CA,91401,34.17141000,-118.42153000
507406-6893,3551A0T3SV,10085806,12124.00,LA PUENTE,MRLOS070929,141 SOUTH 9TH STREET,,LA PUENTE,CA,91746,34.02978000,-117.96975000
521517-S00521,3551A0Y6DK,10086659,24404.00,LA0089-01 RUBY and MILDRED,MRLOS078196,5334 TORRANCE BOULEVARD,,TORRANCE,CA,90503,33.83694000,-118.37083000
521517-S00046,3551A0Y634,10104117,106223.00,LA0103-09 WATSON SUBSTATION,MRLOS078508,24000 BROAD STREET,,CARSON,CA,90745,33.80781390,-118.26190000
521517-S00291,3551A0Y60E,10151248,141275.00,LA0127,MRLOS078263,5250 WEST EL SEGUNDO BOULEVARD,,HAWTHORNE,CA,90250,33.91608400,-118.37215400
521517-S00585,3551A0W29F,10094614,25716.00,LA0234-07 WONG'S CUPOLA,MRLOS078756,900 EAST ALOSTA AVENUE,,AZUSA,CA,91702,34.12819440,-117.88916670
521517-S00391,3551A0Y695,10101401,45714.00,LA0307-02 FALLBROOK2,MRLOS078561,8501 NORTH FALLBROOK AVENUE,,WEST HILLS,CA,91304,34.22222220,-118.62541670
521517-S00557,3551A0Y6FM,10100552,26977.00,LA0421-02 MULHOLLAND and PARKSOUTH,MRLOS078510,23709 MULHOLLAND HIGHWAY,,CALABASAS,CA,91302,34.13377780,-118.64677780
521517-S00439,3551A0Y6MT,10552268,118573.00,LA0486 - LAX TEMP SITE #1,MRLOS078388,1 WORLD WAY 2A,,LOS ANGELES,CA,90045,33.94492220,-118.40345830
521517-S00543,3551A0Y6TT,10552269,118575.00,LA0506 - LAX TEMP SITE #2,MRLOS078396,1 WORLD WAY P3,,LOS ANGELES,CA,90045,33.94444700,-118.40770000
521517-S00317,3551A0Y6H2,10150446,125482.00,LA0556-1 CARSON STRIP CENTER,MRLOS078165,22829 FIGUEROA STREET,,CARSON,CA,90745,33.81797500,-118.28609700
521517-S00219,3551A0Y67E,10104108,48063.00,LA0615-03 GLADSTONE PARK,MRLOS078492,610 EAST GLADSTONE STREET,,GLENDORA,CA,91740,34.11333330,-117.85250000
521517-S00429,3551A0Y5Q2,10101308,43729.00,LA0617-01 ABBEYWOOD/LAMPSON,MRLOS078534,3552 1/2 SAN GABRIEL RIVER PARKWAY,,PICO RIVERA,CA,90660,34.01472220,-118.05638890
521517-S00339,3551A0Y6LW,10103647,47971.00,LA0621-01 VENICE BEACH HOSTEL,MRLOS078266,1515 PACIFIC BOULEVARD,,VENICE,CA,90291,33.98777780,-118.47250000
521517-S00382,3551A0W29T,10104118,48064.00,LA0627-02 A1 ROOFING,MRLOS078742,22029 FIGUEROA STREET,,CARSON,CA,90745,33.82750000,-118.28666670
521517-S00244,3551A0Y63B,10106071,102549.00,LA0679-06 GLENDORA LITTLE LEAGUE,MRLOS078590,1025 EAST SIERRA MADRE AVENUE,,GLENDORA,CA,91741,34.14833330,-117.84788890
521517-S00261,3551A0Y62Z,10105567,80730.00,LA3191-04 TILLY'S,MRLOS078567,10 WHATNEY,,IRVINE,CA,92618,33.63710000,-117.72378330
521517-S00420,3551A0Y6N1,10141272,101291.00,LA6052-51 DUFFERIN RELOCATION,MRLOS078515,10591 DUFFERIN AVENUE,,RIVERSIDE,CA,92503,33.88888890,-117.44944440
507406-7826,3551A0T3Y3,10104113,48212.00,LA8013-04 ARROW PUBLIC STORAGE,MRLOS070792,"10701 ARROW ROUTE,",,RANCHO CUCAMONGA,CA,91730,34.09861000,-117.57000000
521517-S00139,3551A0Y64J,10105566,82426.00,LA8102-04 RANCON,MRLOS078562,38365 INNOVATION COURT,,MURRIETA,CA,92563,33.56091670,-117.13394440
521517-S00313,3551A0Y6BL,10085692,11734.00,LAC120-01 SANTA MONICA/LA OVLY - C120,MRLOS078329,1115 NORTH ORANGE DRIVE,,LOS ANGELES,CA,90038,34.09138900,-118.34111100
521517-S00302,3551A0W29G,10085835,12100.00,LAC138-01 GLENDALE EAST,MRLOS078754,425 EAST COLORADO STREET,,GLENDALE,CA,91205,34.14277780,-118.24944440
507406-6961,3551A0T40K,10086518,12321.00,LAC151-FONTANA,MRLOS070562,17173 1/2 VALLEY BOULEVARD,,BLOOMINGTON,CA,92316,34.06917000,-117.42944000
521517-S00410,3551A0Y69X,10085887,12035.00,LAC451-01 IMPERIAL/CRENSH OVLY - C451,MRLOS078604,2930 WEST IMPERIAL HIGHWAY,,INGLEWOOD,CA,90303,33.93055600,-118.32444400
521517-S00597,3551A0Y6KD,10086762,15980.00,LAC507-01 FWY/13,MRLOS078425,300 3/4 HARVEY DRIVE,,Glendale,CA,91206,34.14777780,-118.22722220
521517-S00561,3551A0Y6VM,10085851,12055.00,LAC708-01 LAX,MRLOS078553,6171 WEST CENTURY BOULEVARD,,LOS ANGELES,CA,90045,33.94583300,-118.39369440
507406-7962,3551A0T4DL,11650447,159850.00,LAC905-01 GREEK THEATRE,MRLOS070928,2700 NORTH VERMONT AVENUE DUP,,ESCONDIDO,CA,92025,34.11992780,-118.29668330
521517-S00299,3551A0Y5QZ,10103660,47271.00,LADWP,MRLOS078295,9400 CANTERBURY AVENUE,,ARLETA,CA,91331,34.24058330,-118.43572220
